null2,bsA
-96192.947707,-96192.947707
-94199.466946,-94199.466947
-94132.621765,-94132.619099
-94074.166331,-94074.166330
-95911.579373,-95911.579373
-95467.435686,-95467.435686
-94951.111953,-94951.111953
-93991.988065,-93990.496873
-94668.492884,-94668.492884
-95552.986702,-95552.933577
-94730.871635,-94729.726355
-94628.927992,-94628.927993
-95268.716471,-95268.716471
-94931.625010,-94931.625010
-94272.245899,-94272.245899
-93683.774056,-93683.774056
-94785.087457,-94785.087457
-94842.485028,-94842.485028
-95219.306836,-95219.306836
-93896.291920,-93896.378275
-95462.236923,-95462.236923
-94559.717996,-94559.717997
-94640.704803,-94640.704803
-94252.404672,-94252.404672
-94609.246337,-94609.142721
-95947.928462,-95947.928462
-95160.767181,-95160.767181
-95284.876366,-95284.876366
-96076.506319,-96076.506319
-95775.108583,-95774.994521
-94959.575628,-94959.575628
-95616.416753,-95616.416754
-94778.357095,-94778.357095
-94575.999967,-94575.999967
-95893.420580,-95893.420580
-93839.666015,-93839.173231
-94870.528478,-94870.528478
-94187.586688,-94187.586687
-94447.451398,-94447.458964
-95278.378696,-95278.376957
-94460.102962,-94460.102962
-93861.573529,-93861.575097
-95466.116828,-95466.116828
-95034.370758,-95034.370758
-93552.601975,-93552.601975
-94603.898481,-94603.898481
-93833.543500,-93833.489497
-95282.401368,-95282.401368
-95361.987876,-95361.987876
-95062.992334,-95062.992334
-95748.446271,-95748.446271
-94832.156808,-94832.156808
-94740.621163,-94740.621162
-94672.410518,-94672.410518
-94573.350693,-94573.350693
-93893.505903,-93893.505903
-95311.860419,-95311.860419
-95339.571653,-95339.571653
-95187.489059,-95187.489060
-94923.675325,-94923.675325
-94043.333700,-94041.814983
-95360.147033,-95360.147033
-95673.694988,-95673.694988
-95708.932800,-95708.932800
-94356.210851,-94356.210851
-94730.580721,-94730.580718
-95063.863405,-95063.863403
-95231.407981,-95231.407981
-95171.730623,-95171.730623
-95148.851914,-95148.851914
-96139.238168,-96139.238168
-95358.055686,-95357.049965
-95678.551324,-95678.296442
-94584.960176,-94584.960177
-94819.281534,-94819.281534
-94375.211166,-94375.211166
-94583.413689,-94582.198388
-94867.332973,-94867.332972
-94361.812610,-94361.812609
-94449.453305,-94449.462901
-95144.701322,-95144.701322
-94593.164174,-94593.164174
-94532.296971,-94532.296971
-94801.406702,-94801.406702
-95128.518765,-95128.518765
-95226.434402,-95226.434402
-94094.050563,-94093.028033
-94837.115693,-94837.115693
-95350.649346,-95350.649347
-95425.989812,-95425.884583
-94816.330261,-94816.330261
-95644.651885,-95644.651885
-94122.685243,-94122.819648
-93515.097395,-93515.097395
-94458.213090,-94458.213089
-95910.652260,-95910.652260
-94060.096125,-94060.096125
-95174.592272,-95174.592273
-94925.645417,-94925.645338
-94239.516551,-94239.516551
-95409.669119,-95409.669119
-95352.340479,-95352.340479
-95103.301969,-95103.301970
-95052.600476,-95052.600476
-95170.754671,-95170.754671
-95445.089007,-95445.089006
-94307.936008,-94307.936008
-95499.236621,-95499.236621
-95083.044413,-95083.044413
-95202.367938,-95202.367938
-94594.134309,-94594.373465
-95111.948882,-95111.948882
-95368.651876,-95368.604259
-94701.647642,-94701.647643
-95493.052404,-95493.052404
-95585.493588,-95585.493588
-93738.566852,-93738.566852
-95033.997855,-95033.155678
-94406.655661,-94404.977391
-93820.338985,-93820.335263
-93936.296815,-93936.296815
-95440.567143,-95440.567143
-95118.919230,-95118.919230
-95654.376491,-95654.376491
-94296.489996,-94296.489996
-94097.531885,-94097.528874
-94873.616752,-94873.616758
-94705.577456,-94705.577456
-94929.798007,-94929.798007
