null2,bsA
-76745.893379,-76745.893379
-77134.441040,-77134.183245
-77002.428389,-77001.350904
-76388.192054,-76388.192054
-76299.209743,-76299.064469
-76888.878645,-76888.848013
-76424.808253,-76424.808253
-76781.855005,-76781.855004
-76871.577282,-76871.577282
-77338.614862,-77338.614862
-77213.924038,-77213.841886
-76828.444004,-76828.444004
-76749.321428,-76749.321428
-76274.825003,-76274.722981
-77095.550036,-77095.550036
-75983.547951,-75983.547951
-77377.314354,-77377.314355
-77098.670704,-77098.496699
-76652.033866,-76652.033866
-77104.393906,-77104.393906
-76675.389217,-76675.389217
-76815.423672,-76815.413990
-76825.539330,-76825.493091
-76572.071733,-76572.071733
-77330.719512,-77330.555122
-76108.211276,-76108.211276
-76478.290773,-76478.290773
-77004.247455,-77004.247455
-76500.353385,-76500.353385
-76833.446115,-76833.418082
-77453.540023,-77453.540023
-76554.892751,-76554.892751
-77169.661793,-77169.661793
-77214.057244,-77213.841730
-77101.885606,-77101.885606
-76557.344232,-76557.344232
-77085.455822,-77085.455822
-76932.947170,-76932.947170
-76958.170302,-76958.148416
-76833.885109,-76833.885109
-77000.831803,-77000.811483
-76638.883739,-76638.883739
-76792.475735,-76792.475735
-76962.792869,-76962.792869
-77032.752272,-77032.752272
-77046.776482,-77046.714799
-76589.326441,-76589.326441
-76941.846363,-76941.827582
-77042.443524,-77042.160223
-76056.662567,-76056.662566
-77255.821246,-77255.322211
-77226.499752,-77225.738268
-76991.862303,-76991.862303
-76557.207665,-76557.207665
-77038.596979,-77038.596979
-75951.222352,-75951.222353
-77224.838175,-77224.838175
-77513.943166,-77513.943166
-76708.415509,-76708.393068
-77075.286681,-77075.286681
-76972.674226,-76972.674226
-76658.022439,-76658.022439
-77221.392413,-77221.392413
-77394.671010,-77394.671010
-77158.124492,-77158.100176
-76996.153179,-76995.393532
-76310.290659,-76310.290659
-76659.112448,-76659.055508
-76533.847730,-76533.847730
-76259.165675,-76259.165675
-77107.435993,-77107.435993
-76479.149858,-76479.149858
-76192.169633,-76192.169633
-77443.072160,-77443.010797
-76735.099112,-76734.750748
-77532.205154,-77532.204829
-76861.613563,-76861.613563
-76588.102295,-76588.102295
-77343.188188,-77343.163795
-76755.893191,-76755.737467
-77403.822218,-77402.517493
-76921.727654,-76921.149613
-76192.122318,-76192.122318
-77181.661480,-77181.661480
-76225.313361,-76225.313361
-76601.002210,-76601.002210
-76919.272796,-76919.272796
-77244.685696,-77244.685696
-77134.261215,-77134.261215
-77247.538831,-77247.538832
-76768.871135,-76768.871135
-77078.115912,-77078.115912
-76925.331476,-76925.331476
-77450.793894,-77450.686360
-76770.890612,-76770.890612
-77908.171082,-77908.171082
-76618.222749,-76617.676455
-76637.100832,-76636.018233
-76408.328253,-76408.328254
-77174.615826,-77174.615826
-77182.172037,-77182.172037
-76906.741644,-76906.577267
-76550.868981,-76550.868981
-77147.142685,-77147.142685
-77158.419817,-77157.254788
-76697.088060,-76696.876682
-76665.490946,-76665.490946
-76422.608621,-76422.608621
-77585.135924,-77585.135924
-76426.165766,-76426.165767
-76499.222553,-76499.222553
-76597.860977,-76597.860977
-76969.401639,-76969.401639
-76981.029706,-76981.029706
-77195.425868,-77195.055069
-77013.886205,-77013.886205
-76756.279922,-76756.279922
-76366.007335,-76366.007335
-76673.174506,-76671.490193
-76694.960834,-76694.923969
-77023.447639,-77023.447639
-76380.556105,-76380.160324
-76927.972608,-76927.972608
-76581.836581,-76581.836581
-77068.938407,-77068.938407
-76688.174617,-76688.132552
-77247.216303,-77247.216303
-77214.814009,-77214.808876
-76517.874741,-76517.874583
-76716.982198,-76716.723371
-77063.994466,-77063.994466
-77361.426210,-77361.426209
-76909.692494,-76908.012183
-76576.120014,-76576.120014
-76886.224513,-76886.224513
-76484.807751,-76484.798105
-77716.161588,-77716.043001
-76905.608548,-76905.608548
-76594.702000,-76594.702000
-76991.243729,-76991.230693
-76024.517244,-76024.517244
-76639.946286,-76639.946286
-76319.138652,-76319.138652
-77016.221982,-77016.221982
-76135.234804,-76135.234804
-76483.282811,-76483.282811
-76332.623501,-76332.623501
-76813.789535,-76813.789535
-76496.402356,-76496.379179
-76392.016403,-76392.016403
-76642.866910,-76641.353233
-76901.633783,-76901.633783
-76630.216815,-76630.216815
-76962.606131,-76962.606131
-77360.407198,-77360.316233
-76995.677064,-76995.616690
-76103.396074,-76103.379666
-76942.709031,-76942.709031
-77471.381610,-77471.381610
-76835.956294,-76835.956294
-75995.976177,-75995.976177
-76910.493820,-76910.493820
-76737.277787,-76737.277787
-76828.969630,-76828.969630
-76201.191266,-76200.469629
-76606.706548,-76606.706548
-76532.808901,-76532.788828
-76966.122808,-76966.122808
-77056.092532,-77056.092532
-76637.004991,-76637.004991
-76971.187294,-76971.187294
-76938.907403,-76938.907403
-76555.164098,-76552.015125
-77497.927431,-77496.740519
-76683.305878,-76683.260348
-77297.904013,-77297.904013
-77466.344142,-77466.197366
-77118.494653,-77118.492570
-77197.460815,-77197.460815
-76459.009781,-76459.009781
-76750.470266,-76750.470266
-76693.027723,-76693.027258
-77374.285273,-77374.276976
-77227.070094,-77227.070094
-76463.104531,-76463.104532
-76880.718897,-76880.629261
-76433.425541,-76433.425541
-76910.479047,-76910.479047
-76865.916327,-76865.916328
-76146.179437,-76145.838063
-76658.723898,-76658.723898
-76898.719513,-76898.719513
-76886.868182,-76886.867432
-76549.897654,-76549.897654
-77443.055068,-77443.055068
-78059.986604,-78059.667623
-76314.204381,-76312.951207
-76698.940695,-76698.919845
-77270.459614,-77270.459614
-76307.681059,-76307.681059
-76360.219658,-76360.219658
-76626.724478,-76625.763303
-76494.217182,-76494.078998
-76889.868790,-76889.868790
-76783.447780,-76783.447780
-76539.731668,-76539.731668
-76388.493806,-76386.690253
-77025.248835,-77025.248835
-76889.436030,-76889.436030
-76342.067271,-76342.067271
-76721.727397,-76721.727397
-77556.600692,-77556.600692
-76794.854838,-76794.854838
-77420.055646,-77419.553860
-76744.987712,-76744.987712
-76639.501205,-76639.501205
-76373.300787,-76373.294155
-76866.984227,-76866.984227
-77500.573295,-77500.573295
-77180.578732,-77180.578733
-77256.899985,-77256.875272
-76381.507937,-76381.507937
-77950.602135,-77950.577043
-76816.223625,-76816.223625
-76536.177862,-76536.177862
-77247.894384,-77247.596349
-76942.265945,-76942.265945
-76871.500909,-76871.500909
-76223.282646,-76223.282646
-76655.294644,-76655.294643
-77103.569559,-77103.569559
-76679.831731,-76679.829653
-76838.972298,-76838.806663
-76693.360354,-76693.360354
-76910.163110,-76910.163110
-77465.099690,-77465.099690
-76437.344378,-76437.344378
-76610.077097,-76610.077097
-77116.201943,-77116.201742
-76371.267829,-76371.267829
-76493.810432,-76493.805396
-76713.747860,-76713.690227
-76798.854047,-76798.784120
-77238.414184,-77238.414184
-76274.939556,-76273.999559
-76520.919056,-76520.919056
-76693.516940,-76693.516940
-77144.436886,-77144.436886
-76905.586934,-76905.235763
-76556.418337,-76556.418337
-77393.532179,-77392.484622
-76767.856832,-76767.856832
-77099.944516,-77099.017185
-76760.012834,-76760.012834
-77086.799453,-77086.799453
-77198.980337,-77198.668816
-76811.596277,-76811.596277
-77015.915730,-77015.828426
-76838.449788,-76837.999270
-77680.383910,-77679.447429
-76430.247924,-76430.091612
-77246.599329,-77245.968998
-76462.420901,-76461.968437
-76486.471529,-76486.359510
-76873.351586,-76873.261728
