null2,bsA
-71149.161807,-71149.161444
-71681.166748,-71681.074108
-71960.686747,-71960.686747
-71281.138679,-71281.138679
-70731.541305,-70731.121477
-71281.134858,-71281.073535
-71269.176070,-71269.036614
-71184.093937,-71184.093937
-71201.977716,-71201.859596
-71335.333221,-71333.915578
-72015.799933,-72015.799933
-71296.113493,-71293.725583
-71296.145619,-71296.078456
-71379.965529,-71379.922097
-70958.716964,-70958.716964
-72215.467815,-72215.426432
-71614.841691,-71614.695605
-71295.344877,-71295.344877
-71713.385177,-71713.385177
-71149.531208,-71149.436403
-71376.518247,-71376.518247
-72034.302833,-72034.266182
-71424.079036,-71424.079036
-71404.409590,-71404.409590
-70848.991636,-70848.991636
-71349.695388,-71349.350214
-71101.751782,-71101.751782
-71616.872527,-71616.727626
-71200.284900,-71199.891655
-71670.055741,-71670.055741
-71428.629163,-71428.629163
-71281.194122,-71281.194122
-70991.262397,-70991.249798
-71477.892155,-71477.055545
-70717.351250,-70717.351250
-71188.152635,-71188.152635
-71223.114453,-71222.937508
-71741.279883,-71741.279883
-71827.377392,-71827.377392
-71589.154799,-71589.154799
-71281.373507,-71281.373507
-71022.391337,-71022.391337
-71846.449126,-71846.291404
-70906.860241,-70906.860241
-71432.567215,-71432.567215
-71538.287574,-71536.639066
-70939.860825,-70939.860825
-71491.148605,-71491.148605
-71564.712969,-71564.712969
-71489.160299,-71488.427649
-71711.666937,-71711.666937
-70933.868395,-70933.777695
-71610.453557,-71610.453557
-70354.089844,-70354.089844
-70961.444830,-70961.444830
-71623.651931,-71623.562620
-71031.932849,-71031.932849
-71458.189297,-71458.189297
-71683.228172,-71683.228172
-71089.174732,-71088.661166
-71419.901715,-71419.819946
-71696.173053,-71696.123808
-71362.787024,-71362.787024
-71376.909274,-71376.909274
-71631.513101,-71631.513122
-71167.745878,-71167.619471
-71618.082456,-71618.082456
-71376.742956,-71376.742956
-71685.840069,-71685.840069
-71484.390328,-71484.390328
-71981.304530,-71981.304530
-71203.608344,-71203.608344
-71683.660418,-71683.603350
-71309.972666,-71309.657701
-71092.048269,-71092.048269
-70838.292885,-70838.292885
-71570.328137,-71570.286151
-70459.449713,-70459.449713
-71378.390771,-71378.032079
-71150.737883,-71149.851826
-71963.985080,-71963.985080
-71011.994008,-71011.993709
-71707.611440,-71707.611440
-70641.510741,-70640.987157
-71335.533921,-71335.469137
-72167.972591,-72167.972591
-71543.283903,-71543.283903
-71095.371339,-71095.371339
-71587.019208,-71586.997849
-71252.280006,-71252.280006
-71722.627452,-71721.463205
-71689.698091,-71689.300009
-71767.725500,-71767.724205
-71682.608231,-71682.461644
-70997.026931,-70997.026931
-71322.002067,-71322.002067
-71252.202937,-71252.202937
-70844.615565,-70844.470402
-71343.495741,-71343.495741
-71387.950573,-71387.950573
-70793.816319,-70793.425222
-71289.196226,-71289.196226
-71158.630718,-71158.516457
-72185.519626,-72185.409668
-71738.348284,-71738.348284
-70959.232138,-70959.232138
-71804.077726,-71804.077726
-71567.609075,-71567.609075
-71948.767087,-71948.767087
-71413.628516,-71413.628516
-70842.272966,-70842.132262
-71919.978172,-71919.973524
-71003.193032,-71003.193032
-71891.643360,-71891.643360
-71140.339257,-71140.339257
-72014.883701,-72014.883701
-71707.131224,-71707.061290
-72056.103420,-72056.102642
-70914.483941,-70914.388818
-71434.616128,-71434.420527
-71581.845022,-71581.801554
-72009.132493,-72009.132493
-71401.719440,-71401.719440
-72186.714532,-72182.935250
-71095.279949,-71095.277304
-71274.381579,-71274.381577
-71090.923121,-71090.923121
-71754.287929,-71754.287929
-71432.555265,-71432.553248
-71493.988154,-71493.980403
-71265.452191,-71264.503572
-71096.413385,-71096.413385
-71595.911158,-71595.183679
-71226.922209,-71226.902432
-71080.553152,-71080.546899
-71155.307258,-71155.271888
-72009.230004,-72009.230004
-71169.970537,-71169.970537
-71014.807988,-71014.807988
-71102.238103,-71102.234472
-71557.718260,-71557.717832
-70988.340871,-70988.340826
-71619.202701,-71618.856674
-71400.078632,-71398.173404
-71210.365889,-71209.973932
-70590.359694,-70590.356647
-71100.809027,-71100.272183
-70841.586074,-70841.376289
-71561.583059,-71561.583059
-70639.722014,-70639.503917
-71239.373212,-71239.347331
-71098.714969,-71098.714969
-71099.984603,-71099.984603
-71335.644038,-71335.644038
-71821.858454,-71821.858454
-71359.000220,-71359.000220
-70814.790265,-70814.790265
-71394.621310,-71394.584839
-71456.313512,-71456.313512
-71553.176907,-71552.365899
-71522.422552,-71522.420199
-71387.814930,-71387.814930
-71597.036376,-71597.036376
-70873.551354,-70873.478379
-71692.812135,-71692.812135
-71040.243990,-71040.243990
-71209.567339,-71209.567339
-71580.675289,-71580.675289
-70675.999917,-70675.999917
-70943.833813,-70943.833813
-70739.938823,-70739.875630
-71534.783045,-71534.170461
-71077.426120,-71077.380726
-70894.239361,-70893.201651
-70856.421175,-70856.421175
-71245.417501,-71245.344736
-71023.910850,-71023.325149
-71216.522866,-71216.522866
-71001.613182,-71001.613182
-71211.740126,-71211.740126
-71094.227664,-71093.860828
-71336.592750,-71336.592750
-71811.133475,-71811.133475
-71419.863296,-71419.863296
-70584.519930,-70584.519930
-70891.601877,-70891.601877
-71769.130879,-71769.130879
-71617.002927,-71615.110845
-70465.537445,-70465.471000
-71988.152971,-71988.152971
-71134.316773,-71134.316773
-71518.581920,-71518.581920
-70670.213707,-70670.213707
-71299.309372,-71298.872675
-70926.522645,-70926.522645
-71505.154241,-71504.736358
-71813.289987,-71813.289987
-71554.630738,-71554.629128
-71178.914934,-71178.914934
-71518.086136,-71518.086136
-71067.933879,-71066.320763
-71817.230937,-71817.117615
-70673.213936,-70670.232621
-71632.337582,-71632.337582
-71739.397901,-71739.397901
-71521.648312,-71521.081577
-71757.883529,-71757.452785
-70906.811400,-70906.810448
-71478.931097,-71478.931097
-71685.206613,-71684.356835
-71641.698862,-71639.577863
-72016.654914,-72016.649513
-70960.336951,-70960.181699
-71480.790132,-71479.852166
-70848.629003,-70846.515803
-71238.204864,-71238.204864
-71818.582124,-71815.781434
-70924.747498,-70922.746721
-71121.802994,-71121.412591
-71519.201916,-71519.051690
-71054.212459,-71054.212459
-70866.433706,-70866.433706
-71949.736564,-71949.499701
-72121.804838,-72120.339723
-71096.739487,-71096.428249
-71299.167442,-71299.167442
-71854.277495,-71854.277381
-71125.918848,-71125.914110
-70985.621267,-70985.578730
-71445.965448,-71445.965448
-70472.662585,-70472.662585
-70892.803042,-70892.552542
-71030.611447,-71030.391805
-71281.731479,-71281.731479
-71086.370846,-71086.370846
-71134.824474,-71134.824474
-71163.177732,-71162.757484
-71296.424709,-71296.424709
-71503.126697,-71503.126697
-71919.485940,-71919.485647
-71322.135639,-71321.962132
-71780.358384,-71779.846609
-71151.561614,-71151.561614
-71087.887805,-71087.835771
-71069.337729,-71069.337729
-70996.775600,-70996.775600
-71732.464169,-71729.598881
-71381.178994,-71381.178994
-71507.376668,-71505.491532
-71086.071454,-71086.071454
-72273.954243,-72273.432439
-71127.951177,-71127.950939
-71307.269135,-71307.178704
-71768.631149,-71767.961771
-71491.327882,-71491.327882
-70990.257051,-70988.710495
-71139.476537,-71139.476537
-71055.870887,-71055.870887
-71531.590635,-71531.446642
-71188.255327,-71188.255327
-71269.968303,-71269.967576
-71024.261982,-71024.261982
-71286.581273,-71286.580817
-71547.743095,-71546.269602
-70720.428824,-70720.428824
-71555.809165,-71555.806175
-71417.462124,-71417.240826
-71010.028817,-71010.024543
-70789.288796,-70789.288796
-71091.965033,-71091.819573
-71416.622649,-71416.622649
-71326.103786,-71326.103786
-70768.242095,-70767.708577
-70813.937479,-70813.090162
-71060.108828,-71060.108828
-71504.524451,-71504.524451
-71210.741312,-71210.062353
-70941.540011,-70941.540011
-71769.513922,-71765.628579
-71519.925162,-71519.925162
-71104.330532,-71103.681549
-71157.413732,-71157.413732
-71231.539270,-71231.375097
-71454.148674,-71453.835847
-71684.793731,-71684.793731
-71297.455449,-71297.455449
-71119.840762,-71119.840762
-72112.046254,-72112.046254
-70980.309662,-70980.305731
-71760.670002,-71759.339429
-71222.863207,-71222.861568
-71207.058424,-71207.058424
-71685.594445,-71685.594445
-70933.345089,-70932.731421
-71154.057839,-71154.057839
-71811.752014,-71811.611251
-71144.078111,-71144.050353
-71590.473357,-71589.840636
-71731.551976,-71731.551976
-71001.045811,-71001.037196
-71241.649526,-71241.434389
-71969.006964,-71969.006964
-71400.785123,-71400.785123
-71208.453237,-71208.243705
-72214.454424,-72214.411386
-71422.253966,-71422.105841
-71013.463761,-71013.463761
-71106.580288,-71106.580288
-71669.672806,-71669.672806
-71071.833163,-71071.222610
-71672.154544,-71672.136058
-71863.766662,-71863.766662
-71664.473662,-71664.473662
-71344.753556,-71344.729216
-71549.406446,-71549.003757
-71990.224644,-71987.783334
-71761.828077,-71760.502515
-71032.118299,-71031.195516
-71643.532487,-71643.532487
-71303.353906,-71303.078040
-70673.515166,-70673.515166
-70911.751851,-70911.751851
-71115.298600,-71115.271629
-71030.676098,-71030.590960
-71615.365484,-71614.799337
-71035.393400,-71035.315092
-71416.814288,-71416.790110
-71024.275431,-71024.275431
-71997.202509,-71997.202509
-71245.403585,-71245.186688
-71629.930969,-71629.930969
-71338.256438,-71338.256438
-70976.621431,-70976.621431
-71438.732875,-71438.732875
-71559.010176,-71559.010176
-71587.687226,-71587.371811
-71094.461356,-71094.447670
-71118.178387,-71117.970701
-71248.431455,-71248.431455
-71456.798830,-71456.798830
-71061.618279,-71061.618279
-71597.998585,-71597.998585
-71653.396251,-71653.396251
-71469.205961,-71467.871658
-71317.557687,-71317.557687
-70993.509221,-70993.509221
-71290.015139,-71290.015139
-71169.390789,-71169.390789
-71755.166227,-71755.039577
-71706.669418,-71706.529870
-71712.456533,-71712.456533
-71210.439206,-71210.419105
-71199.073221,-71199.073221
-71076.665287,-71075.518420
-71631.461181,-71631.461181
-71255.644726,-71255.644726
-71690.386642,-71690.386642
-71662.556751,-71662.556751
-71484.204745,-71484.204745
-71539.234329,-71539.216762
-71551.708770,-71551.487394
-71125.037367,-71125.037367
-71508.970866,-71508.970866
-71175.408057,-71175.408057
-71612.569560,-71612.459813
-71279.648784,-71279.616630
-70939.730014,-70939.730014
-72052.223772,-72050.986953
-72144.347251,-72144.248846
-71412.047469,-71410.645210
-71186.321878,-71185.879446
-71180.885246,-71180.648929
-70978.061775,-70977.077646
-70949.069174,-70948.790713
-71875.888088,-71875.630320
-71126.734890,-71126.701116
-71827.015380,-71827.015380
-71012.332071,-71012.327456
-70521.546995,-70521.523384
-71527.651159,-71527.627788
-70736.256088,-70736.256088
-71150.282159,-71150.282159
-71226.146201,-71226.146201
-71796.966189,-71796.966189
-70927.145650,-70926.867314
-71618.245137,-71618.196794
-71207.289432,-71207.253763
-71286.240153,-71286.240153
-71108.683363,-71108.494010
-71306.900453,-71306.900453
-70910.758937,-70908.831509
-71062.211759,-71061.744140
-71299.682232,-71299.682232
-71375.987210,-71373.613920
-71383.498190,-71383.498190
-71268.434467,-71268.434467
-71392.708377,-71392.496271
-71015.906455,-71015.739763
-71519.475608,-71519.475705
-71450.282334,-71450.059782
-70939.839111,-70939.839111
-71476.762078,-71476.610282
-70742.704452,-70742.704452
-71273.146772,-71273.146772
-71294.877710,-71294.877710
-71233.161677,-71233.161677
-71677.157408,-71677.093340
-71455.462136,-71455.298684
-70900.695951,-70900.695926
-70842.072495,-70842.072495
-71479.083177,-71479.083177
-71587.562885,-71587.562885
-72019.494072,-72019.185438
-71706.861936,-71706.805959
-71677.634898,-71674.722642
-71176.761868,-71176.761868
-71731.470489,-71731.470489
-71548.098480,-71547.388998
-71257.770441,-71257.384877
-71683.482049,-71683.482049
-71350.617445,-71350.617445
-71573.260500,-71573.260500
-71351.169010,-71350.356137
-71843.374845,-71843.373400
-71237.311464,-71237.311464
-71378.906359,-71377.033149
-70953.313780,-70953.206311
-70413.003466,-70413.003466
-71593.002541,-71593.002541
-71367.854276,-71366.791450
-71686.150664,-71685.465729
-71087.786900,-71087.786900
-70980.766127,-70980.687437
-72018.964607,-72018.923806
-71497.151139,-71497.151139
-70751.670532,-70751.670532
-70791.578263,-70791.578263
-71019.718138,-71017.714242
-71254.032889,-71254.032889
-71911.198112,-71911.193930
